Country Name,2020 GDP Per Capita
Afghanistan,516.866552182696
Armenia,4505.86736397124
Bangladesh,2233.30552399269
Bhutan,3009.92417072191
China,10408.6697561349
Georgia,4255.74299321254
Indonesia,3894.27220196922
India,1910.42147282449
Kyrgyz Republic,1182.52170043018
Cambodia,1577.91174726099
Kiribati,1430.55157354026
Lao PDR,2593.35509719847
Sri Lanka,3893.84151516764
Maldives,7282.35848902548
Mongolia,4041.17419587656
Nepal,1139.19027666733
Pakistan,1322.31503608163
Philippines,3224.42255131214
Papua New Guinea,2446.06630562295
Solomon Islands,2222.4656361989
Thailand,6990.93550262041
Tajikistan,852.333670212118
Tonga,4606.06455169288
Tuvalu,4973.77456126816
Uzbekistan,1749.65581532206
Vietnam,3586.34730171843
Samoa,4042.75122353237
